0,0,2,,
0,0,0,,
0,0,2,,
1,32,1,,
0,0,2,,
1,27,0,,
0,0,2,,
1,24,1,,
1,19,0,,
1,15,0,,
1,16,1,,
0,0,2,,
0,0,0,,
1,33,1,,
1,30,1,,
1,18,1,,
0,0,2,,
0,0,0,,
0,79,2,,
1,30,0,,
0,0,2,,
1,23,0,,
1,27,1,,
0,114,2,,
0,0,1,,
1,18,0,,
0,0,0,,
0,0,1,,
1,32,0,,
0,0,0,,
1,27,1,,
1,32,0,,
1,24,0,,
0,72,2,,
0,0,0,,
0,0,1,,
0,0,1,,
0,0,2,,
1,33,0,,
0,0,1,,
0,0,0,,
0,0,2,,
0,0,2,,
1,31,1,,
0,108,2,,
0,77,2,,
0,0,0,,
1,22,1,,
0,75,2,,
0,0,0,,
0,0,0,,
1,20,1,,
0,90,2,,
0,77,2,,
0,0,1,,
0,0,2,,
0,0,2,,
1,16,1,,
0,75,2,,
0,106,2,,
0,0,1,,
1,25,1,,
1,31,1,,
0,0,2,,
0,87,2,,
0,105,2,,
0,119,2,,
0,0,0,,
0,0,0,,
1,20,1,,
0,0,0,,
1,16,0,,
0,112,2,,
0,70,2,,
1,23,0,,
0,112,2,,
0,74,2,,
0,0,1,,
0,0,1,,
1,29,0,,
0,0,1,,
1,21,0,,
0,106,2,,
1,15,1,,
0,0,2,,
0,84,2,,
0,116,2,,
1,17,1,,
0,101,2,,
1,19,0,,
0,0,2,,
1,22,1,,
1,27,1,,
1,18,1,,
0,0,2,,
0,0,0,,
1,30,0,,
0,73,2,,
0,80,2,,
1,35,0,,
1,29,0,,
0,111,2,,
1,25,1,,
1,25,1,,
1,27,0,,
1,29,1,,
0,102,2,,
0,0,0,,
1,21,1,,
0,77,2,,
0,0,1,,
0,0,1,,
0,119,2,,
0,0,0,,
0,120,2,,
0,84,2,,
0,0,1,,
0,0,0,,
1,35,1,,
0,0,1,,
1,22,0,,
1,20,1,,
0,0,1,,
0,0,2,,
0,0,2,,
0,0,1,,
